AMIE,Nombre_Institucion,Provincia,Canton,Parroquia,Sostenimiento,Area,Total_Anios_Registrados,Primer_Anio,Ultimo_Anio
01H01581,12 DE OCTUBRE,AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DEL PIJILI,Fiscal,Rural,17,2009-2010,2025-2026
01H01583,MANUEL IGNACIO TOBAR,AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DEL PIJILI,Fiscal,Rural,17,2009-2010,2025-2026
01H01453,SOR MARIA DE SANTO TOMAS ALVARADO,AZUAY,CHORDELEG,CHORDELEG,Fiscal,Urbana,17,2009-2010,2025-2026
01H00652,ABDON CALDERON MUÃO,AZUAY,CUENCA,MOLLETURO,Fiscal,Rural,17,2009-2010,2025-2026
01H00574,ABELARDO J. ANDRADE,AZUAY,CUENCA,CHECA (JIDCAY),Fiscal,Rural,17,2009-2010,2025-2026
01H00798,ALFONSO MARIA BORRERO,AZUAY,CUENCA,SANTA ANA,Fiscal,Rural,17,2009-2010,2025-2026
01H00861,ALFONSO MORENO MORA,AZUAY,CUENCA,TARQUI,Fiscal,Rural,17,2009-2010,2025-2026
01H00874,AURELIO ORDOÃEZ,AZUAY,CUENCA,TARQUI,Fiscal,Rural,12,2009-2010,2025-2026
01H00339,BELL  ACADEMY,AZUAY,CUENCA,SAN SEBASTIAN,Particular,Urbana,17,2009-2010,2025-2026
01H00486,CARLOS RIGOBERTO VINTIMILLA,AZUAY,CUENCA,HERMANO MIGUEL,Fiscal,Urbana,17,2009-2010,2025-2026
01H01886,CEDIN DOWN,AZUAY,CUENCA,SUCRE,Particular,Urbana,7,2014-2015,2020-2021
01H02012,CENTRO DE EDUCACION INICIAL PARTICULAR AVENTURA KIDS,AZUAY,CUENCA,RICAURTE,Particular,Rural,8,2018-2019,2025-2026
01H00764,ESCUELA FISCAL MIXTA HNO ENRIQUE VAZQUEZ PACHECO,AZUAY,CUENCA,RICAURTE,Fiscal,Rural,17,2009-2010,2025-2026
01B00028,ESTRELLA DE SAN JOSE,AZUAY,CUENCA,QUINGEO,Fiscal,Rural,8,2009-2010,2016-2017
01H00779,FEDERICO MALO,AZUAY,CUENCA,RICAURTE,Fiscal,Rural,17,2009-2010,2025-2026
01H01667,FERNANDO ORDOÃEZ CORDERO,AZUAY,CUENCA,HUAYNACAPAC,Particular,Urbana,13,2010-2011,2022-2023
01H00706,FRANCISCO EUGENIO TAMARIZ,AZUAY,CUENCA,NULTI,Fiscal,Rural,17,2009-2010,2025-2026
01H00419,GASPAR SANGURIMA,AZUAY,CUENCA,TOTORACOCHA,Fiscal,Urbana,17,2009-2010,2025-2026
01H00790,GENERAL ANTONIO FARFAN,AZUAY,CUENCA,SAN JOAQUIN,Fiscal,Rural,17,2009-2010,2025-2026
01H00063,INSTITUTO PILOTO DE INTEGRACION DEL AZUAY,AZUAY,CUENCA,CAÃARIBAMBA,Fiscal,Urbana,17,2009-2010,2025-2026
