AMIE,Nombre_Institucion,Provincia,Canton,Parroquia,Sostenimiento,Area,Total_Anios_Registrados,Primer_Anio,Ultimo_Anio
01H01533,25 DE DICIEMBRE,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,Fiscal,Urbana,17,2009-2010,2025-2026
01H00861,ALFONSO MORENO MORA,AZUAY,CUENCA,TARQUI,Fiscal,Rural,17,2009-2010,2025-2026
01H00460,ARCO DEL SABER,AZUAY,CUENCA,YANUNCAY,Particular,Urbana,16,2009-2010,2024-2025
01H00833,DORA BEATRIZ CANELOS,AZUAY,CUENCA,SIDCAY,Fiscal,Rural,17,2009-2010,2025-2026
01H01083,GENERAL DAVALOS,AZUAY,NABON,NABON,Fiscal,Urbana,17,2009-2010,2025-2026
01H00753,GONZALO CORDERO DAVILA,AZUAY,CUENCA,QUINGEO,Fiscal,Rural,8,2009-2010,2016-2017
01H00002,HOME SCHOOL,AZUAY,CUENCA,BELLAVISTA,Particular,Urbana,6,2009-2010,2014-2015
01H00988,INSTITUTO DE EDUCACION ESPECIAL GUALACEO,AZUAY,GUALACEO,GUALACEO,Fiscal,Urbana,17,2009-2010,2025-2026
01H01096,JERONIMO CARRION,AZUAY,NABON,NABON,Fiscal,Urbana,17,2009-2010,2025-2026
01H00958,JUAN JOSE FLORES,AZUAY,GIRON,GIRON,Fiscal,Urbana,17,2009-2010,2025-2026
01H00037,JULIO MARIA MATOVELLE,AZUAY,CUENCA,BELLAVISTA,Fiscal,Urbana,17,2009-2010,2025-2026
01H01159,JULIO MARIA MATOVELLE,AZUAY,PAUTE,PAUTE,Particular,Urbana,17,2009-2010,2025-2026
01H00705,MIGUEL CHERREZ MALDONADO,AZUAY,CUENCA,NULTI,Fiscal,Rural,13,2009-2010,2025-2026
01H00709,OCTAVIO CORDERO PALACIOS,AZUAY,CUENCA,OCTAVIO CORDERO PALACIOS (STA. ROSA),Fiscal,Rural,17,2009-2010,2025-2026
01H00456,PORVENIR,AZUAY,CUENCA,YANUNCAY,Particular,Urbana,17,2009-2010,2025-2026
01H00860,SAN MIGUEL,AZUAY,CUENCA,TARQUI,Fiscal,Rural,15,2009-2010,2023-2024
01H01556,SANTA ROSA,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,Fiscal,Urbana,17,2009-2010,2025-2026
01H00550,TECNICO CUMBE,AZUAY,CUENCA,CUMBE,Fiscal,Rural,17,2009-2010,2025-2026
02H00553,12 DE FEBRERO,BOLIVAR,SAN MIGUEL,BILOVAN,Fiscal,Rural,17,2009-2010,2025-2026
02B00102,20 DE AGOSTO,BOLIVAR,GUARANDA,FACUNDO VELA,Fiscal,Rural,17,2009-2010,2025-2026
02H00628,ABRAHAN PAREDES GAVIDIA,BOLIVAR,CALUMA,CALUMA,Fiscal,Urbana,17,2009-2010,2025-2026
02H00369,CRISTOBAL COLON,BOLIVAR,CHIMBO,LA MAGDALENA (CHAPACOTO),Fiscal,Rural,6,2009-2010,2014-2015
02H00392,ESCUELA LIZARDO GARCIA,BOLIVAR,CHIMBO,TELIMBELA,Fiscal,Rural,17,2009-2010,2025-2026
02H00173,EUGENIO ESPEJO,BOLIVAR,GUARANDA,SANTA FE (SANTA FE),Fiscal,Rural,17,2009-2010,2025-2026
02H00419,FRANKLIN ROOSEVELT,BOLIVAR,ECHEANDIA,ECHEANDIA,Fiscal,Urbana,17,2009-2010,2025-2026
02H00147,GERARDO DEL POZO,BOLIVAR,GUARANDA,SALINAS,Fiscal,Rural,6,2009-2010,2014-2015
02B00020,HUMBERTO VACAS GOMEZ,BOLIVAR,GUARANDA,GUANUJO,Fiscal,Urbana,6,2009-2010,2014-2015
02H00259,JOSE MARIA PLACIDO CAAMAÃO,BOLIVAR,CHILLANES,CHILLANES,Fiscal,Urbana,6,2009-2010,2014-2015
02H00639,MARIA AUXILIADOR ESCUELA,BOLIVAR,CALUMA,CALUMA,Particular,Urbana,17,2009-2010,2025-2026
02H00634,PASAGUA,BOLIVAR,CALUMA,CALUMA,Fiscal,Urbana,6,2009-2010,2014-2015
02H00660,PRIMERO DE MAYO,BOLIVAR,CALUMA,CALUMA,Fiscal,Urbana,14,2009-2010,2022-2023
02H00722,SAN LUIS DE PAMBIL,BOLIVAR,GUARANDA,SAN LUIS DE PAMBIL,Fiscomisional,Rural,16,2009-2010,2025-2026
04H00195,12 DE FEBRERO,CARCHI,BOLIVAR,SAN RAFAEL,Fiscal,Rural,13,2009-2010,2021-2022
04H00416,HUACA,CARCHI,SAN PEDRO DE HUACA,HUACA,Fiscal,Urbana,17,2009-2010,2025-2026
04H00063,LUIS H BOLAÃOS,CARCHI,TULCAN,EL CARMELO (EL PUN),Fiscal,Rural,17,2009-2010,2025-2026
04H00280,MONSEÃOR LEONIDAS PROAÃO,CARCHI,MIRA,CONCEPCION,Fiscal,Rural,8,2009-2010,2016-2017
04H00334,PABLO MUÃOZ VEGA,CARCHI,MONTUFAR,GONZALEZ SUAREZ,Fiscomisional,Urbana,17,2009-2010,2025-2026
04H00007,PLASTILINA,CARCHI,TULCAN,GONZALEZ SUAREZ,Particular,Urbana,17,2009-2010,2025-2026
04H00001,PRIMERO DE MAYO,CARCHI,TULCAN,GONZALEZ SUAREZ,Municipal,Urbana,17,2009-2010,2025-2026
04H00023,SAGRADO CORAZON DE JESUS,CARCHI,TULCAN,GONZALEZ SUAREZ,Fiscomisional,Urbana,17,2009-2010,2025-2026
03H00432,ATAHUALPA,CAÃAR,CAÃAR,INGAPIRCA,Fiscal,Rural,17,2009-2010,2025-2026
03H00553,CARLOS AGUILAR VAZQUEZ,CAÃAR,LA TRONCAL,MANUEL J. CALLE,Fiscal,Rural,6,2009-2010,2014-2015
03B00127,CECIB JOSE ERNESTO SUMBA SAULA,CAÃAR,SUSCAL,SUSCAL,Fiscal,Urbana,17,2009-2010,2025-2026
03H00164,CESAR PESANTEZ ROJAS,CAÃAR,AZOGUES,PINDILIG,Fiscal,Rural,17,2009-2010,2025-2026
03H00248,COLOMBIA,CAÃAR,BIBLIAN,NAZON (CAB. EN PAMPA DE DOMINGUEZ),Fiscal,Rural,17,2009-2010,2025-2026
03H00577,MARIANA DE JESUS,CAÃAR,EL TAMBO,EL TAMBO,Particular,Urbana,17,2009-2010,2025-2026
